ep: 3750, loss: 1.623e-02, elps: 2.130
ep: 3760, loss: 1.466e-02, elps: 2.131
ep: 3770, loss: 2.584e-02, elps: 2.122
ep: 3780, loss: 3.223e-02, elps: 2.135
ep: 3790, loss: 1.444e-01, elps: 2.114
ep: 3800, loss: 4.348e-02, elps: 2.144
ep: 3810, loss: 2.401e-02, elps: 2.140
ep: 3820, loss: 2.233e-02, elps: 2.128
ep: 3830, loss: 1.451e-02, elps: 2.128
ep: 3840, loss: 1.087e-02, elps: 2.128
ep: 3850, loss: 1.359e-02, elps: 2.116
ep: 3860, loss: 1.083e-02, elps: 2.123
ep: 3870, loss: 1.122e-02, elps: 2.129
ep: 3880, loss: 9.606e-03, elps: 2.128
ep: 3890, loss: 1.004e-02, elps: 2.112
ep: 3900, loss: 5.401e-02, elps: 2.138
ep: 3910, loss: 2.170e-02, elps: 2.112
ep: 3920, loss: 1.280e-02, elps: 2.122
ep: 3930, loss: 1.575e-02, elps: 2.110
ep: 3940, loss: 4.893e-02, elps: 2.134
ep: 3950, loss: 2.868e-02, elps: 2.117
ep: 3960, loss: 2.627e-02, elps: 2.134
ep: 3970, loss: 3.488e-02, elps: 2.114
ep: 3980, loss: 3.919e-02, elps: 2.137
ep: 3990, loss: 1.836e-02, elps: 2.121
ep: 4000, loss: 2.178e-02, elps: 2.125
ep: 4010, loss: 1.132e-02, elps: 2.135
ep: 4020, loss: 1.294e-02, elps: 2.119
ep: 4030, loss: 3.942e-02, elps: 2.124
ep: 4040, loss: 1.755e-02, elps: 2.135
ep: 4050, loss: 3.007e-02, elps: 2.143
ep: 4060, loss: 2.288e-02, elps: 2.136
ep: 4070, loss: 4.929e-02, elps: 2.132
ep: 4080, loss: 3.987e-02, elps: 2.137
ep: 4090, loss: 2.760e-02, elps: 2.124
ep: 4100, loss: 1.609e-02, elps: 2.136
ep: 4110, loss: 1.214e-02, elps: 2.137
ep: 4120, loss: 1.075e-02, elps: 2.169
ep: 4130, loss: 1.177e-02, elps: 2.123
ep: 4140, loss: 1.160e-02, elps: 2.152
ep: 4150, loss: 8.667e-03, elps: 2.153
ep: 4160, loss: 1.118e-02, elps: 2.139
ep: 4170, loss: 9.213e-02, elps: 2.123
ep: 4180, loss: 2.480e-02, elps: 2.129
ep: 4190, loss: 1.293e-02, elps: 2.121
ep: 4200, loss: 7.983e-03, elps: 2.151
ep: 4210, loss: 6.574e-03, elps: 2.128
ep: 4220, loss: 9.462e-03, elps: 2.170
ep: 4230, loss: 1.864e-02, elps: 2.103
ep: 4240, loss: 1.505e-01, elps: 2.146
ep: 4250, loss: 1.722e-01, elps: 2.131
ep: 4260, loss: 7.459e-02, elps: 2.157
ep: 4270, loss: 3.260e-02, elps: 2.148
ep: 4280, loss: 3.104e-02, elps: 2.118
ep: 4290, loss: 4.665e-02, elps: 2.124
ep: 4300, loss: 1.163e-01, elps: 2.124
ep: 4310, loss: 5.030e-02, elps: 2.132
